(-2804.4355478941243, -6562.216984182307, 39.19320274452518)
(-2805.480330160575, -6561.823986709443, 31.800153601037962)
(-2806.522032031513, -6561.423783788811, 24.407067814233223)
(-2807.560651683575, -6561.016376167533, 17.01395845834572)
(-2808.5961884575895, -6560.601764153729, 9.62083038260534)
(-2809.6286416910634, -6560.179948051262, 2.227688437348942)
(-2810.658009575906, -6559.750928640493, -5.165454304159912)
(-2811.6842912279612, -6559.314706337459, -12.558591347304212)
(-2812.7074853098643, -6558.871281758401, -19.951712909071443)
(-2813.7275911703027, -6558.420655230777, -27.344814140276224)
(-2814.7446077021814, -6557.962827283344, -34.73788690093233)
(-2815.75853335379, -6557.497798660333, -42.13091976435181)
(-2816.7693672534588, -6557.025569810304, -49.52390623526513)
(-2817.7771080853418, -6556.546141397081, -56.916836532107226)
(-2818.78175543022, -6556.059513663617, -64.3097074494088)
(-2819.7833073080537, -6555.565687615706, -71.70250427160653)
(-2820.781763304886, -6555.064663507278, -79.09522379390827)
(-2821.7771223394516, -6554.556441922276, -86.487857878934)
(-2822.7693828916813, -6554.041023684231, -93.88039509929665)
(-2823.75854389178, -6553.518409402475, -101.27282731851295)
(-2824.7446044918843, -6552.9885995759, -108.66514804416347)
(-2825.7275642808268, -6552.451594464772, -116.05735407197989)
(-2826.70742110201, -6551.907395292792, -123.44942904366138)
(-2827.6841743339205, -6551.356002459781, -130.8413681108289)
(-2828.6578229215556, -6550.797416610387, -138.2331631376389)
(-2829.628365812508, -6550.231638397618, -145.62480598770654)
(-2830.595801744355, -6549.658668610078, -153.01628688206713)
(-2831.5601301018305, -6549.078507661924, -160.40760097299463)
(-2832.5213494140876, -6548.491156488113, -167.7987368368503)
(-2833.4794592839867, -6547.896615378757, -175.18969127145573)
(-2834.43445782389, -6547.2948855557825, -182.5804495656255)
(-2835.386345065385, -6546.685967047468, -189.97101180653243)
(-2836.335119129096, -6546.06986110064, -197.3613632818068)
(-2837.280778573873, -6545.446568715142, -204.75149257123613)
(-2838.2233234316855, -6544.816089924767, -212.14139976082978)
(-2839.162752264846, -6544.178425737285, -219.53107343082536)
(-2840.0990642660763, -6543.533576749628, -226.92050709098035)
(-2841.0322578019086, -6542.88154414271, -234.3096876786667)
(-2841.9623324889435, -6542.222328240395, -241.69861199274965)
(-2842.889286909749, -6541.555930100532, -249.08726861432828)
(-2843.813120682469, -6540.882350048156, -256.47565434329067)
(-2844.733832192948, -6540.201589310791, -263.863756118292)
(-2845.6514206543625, -6539.5136485276025, -271.25156745280924)
(-2846.5658850763507, -6538.818528495291, -278.63908021613804)
